timestamp,open,high,low,close,volume
2022-01-01T00:00:00Z,46187.334427,47956.801560,46186.047427,47738.090213,2934662330.753775
2022-01-02T00:00:00Z,47737.918751,47987.389558,46664.140953,47300.260977,2692076929.957558
2022-01-03T00:00:00Z,47328.568052,47579.098151,45693.377045,46448.548872,3880820985.572773
2022-01-04T00:00:00Z,46427.608468,47548.591021,45516.260987,45828.000814,4813759458.660894
2022-01-05T00:00:00Z,45842.630451,47068.473050,42480.125384,43443.742663,7876938963.559813
2022-01-06T00:00:00Z,43451.762233,43791.957168,42413.796944,43086.867495,5376386712.522754
2022-01-07T00:00:00Z,43113.812565,43140.833032,25599.743776,41555.913333,7358173305.080745
2022-01-08T00:00:00Z,41553.555585,42311.924364,40516.445891,41686.819398,4515429035.939213
2022-01-09T00:00:00Z,41700.205487,42795.860292,41206.333530,41868.398504,3044382068.233068
2022-01-10T00:00:00Z,41863.768456,42256.108504,39735.133494,41831.121668,5715397768.075937
2022-01-11T00:00:00Z,41841.990741,43118.848174,41272.840329,42742.679434,5020787236.814553
2022-01-12T00:00:00Z,42749.304036,44344.949080,42465.262963,43920.937103,4536077814.054386
2022-01-13T00:00:00Z,43909.784142,44456.321542,42324.482226,42573.112375,4321154136.634362
2022-01-14T00:00:00Z,42551.920862,43473.451286,41747.421360,43085.569716,3918696725.086398
2022-01-15T00:00:00Z,43086.525533,43818.194652,42575.566835,43095.616604,2511246049.467873
2022-01-16T00:00:00Z,43109.999780,43494.501222,42601.490020,43094.373970,2306253667.404100
2022-01-17T00:00:00Z,43092.255753,43198.463157,41561.645926,42221.051687,3257113761.142183
2022-01-18T00:00:00Z,42241.369500,42700.908243,41292.370850,42372.247005,3779007955.508603
2022-01-19T00:00:00Z,42383.940270,42579.779840,41140.007641,41675.090285,4448009655.821539
2022-01-20T00:00:00Z,41700.404422,43522.489995,40563.990322,40686.307864,5070733660.977623
2022-01-21T00:00:00Z,40693.610238,41112.497472,35433.177713,36467.144011,11248743609.515211
2022-01-22T00:00:00Z,36521.999460,36841.468326,34012.666197,35078.714468,8737470369.223743
2022-01-23T00:00:00Z,35064.364225,36528.986750,34615.499447,36276.725381,5057421909.639888
2022-01-24T00:00:00Z,36268.393661,37651.217352,32926.816212,36688.135614,9676879357.359907
2022-01-25T00:00:00Z,36669.751783,37617.105503,35988.323060,36981.471960,4426887589.517554
2022-01-26T00:00:00Z,36960.873141,38959.856784,36272.325920,36833.920085,7668769093.524481
2022-01-27T00:00:00Z,36816.375909,37249.025515,35534.169810,37181.244718,5481941806.428668
2022-01-28T00:00:00Z,37103.285645,38024.625313,36172.295839,37739.458415,4572254311.450288
2022-01-29T00:00:00Z,37760.403189,38748.982977,37305.172624,38182.040970,3081075568.254930
2022-01-30T00:00:00Z,38192.076926,38386.284145,37370.457393,37905.138703,2288469013.864234
2022-01-31T00:00:00Z,37911.745234,38767.337025,36653.109707,38490.065368,4483713618.637725
2022-02-01T00:00:00Z,38514.757209,39299.420158,38022.254236,38721.010706,3927084654.432086
2022-02-02T00:00:00Z,38721.127698,38885.934098,36599.614410,36920.350325,3790331590.184680
2022-02-03T00:00:00Z,36926.659068,37446.819043,36265.969622,37331.440728,3767397534.542048
2022-02-04T00:00:00Z,37286.071049,41783.283472,37049.050906,41603.027993,6933725048.257978
2022-02-05T00:00:00Z,41579.542996,41955.054005,40952.155521,41413.945934,3482538784.134023
2022-02-06T00:00:00Z,41448.669220,42700.194615,41139.869390,42411.437925,2444963531.215118
2022-02-07T00:00:00Z,42422.937360,44546.896510,41675.969489,43870.000331,6035623376.121848
2022-02-08T00:00:00Z,43864.116214,45520.725934,42701.248872,44080.886048,7487965639.401465
2022-02-09T00:00:00Z,44081.292227,44850.313406,43155.044670,44417.155092,4246942251.519699
2022-02-10T00:00:00Z,44416.451365,45868.375596,43210.432332,43530.952128,7438568133.503963
2022-02-11T00:00:00Z,43533.535643,43959.645726,41964.218957,42395.745542,5548698825.459473
2022-02-12T00:00:00Z,42397.732686,43071.514285,41734.146203,42235.972537,3032402813.909688
2022-02-13T00:00:00Z,42237.477471,42785.683752,41894.460964,42075.715473,2142176390.046517
2022-02-14T00:00:00Z,42078.439047,42867.755584,41569.135369,42548.442116,4134726266.264153
2022-02-15T00:00:00Z,42553.639358,44776.746713,42445.565376,44574.619615,4523094112.791619
2022-02-16T00:00:00Z,44586.099380,45696.939407,43334.615615,43899.175053,3460566741.877383
2022-02-17T00:00:00Z,43895.070848,44198.344932,40094.919865,40544.622164,5647480955.547925
2022-02-18T00:00:00Z,40536.208868,40993.891864,39465.056836,39996.208981,4788003653.293364
2022-02-19T00:00:00Z,39994.576165,40466.792847,3.887964,40098.188226,1938582491.175198
2022-02-20T00:00:00Z,40098.886764,40139.770011,3.798913,38399.033717,3383572362.158053
2022-02-21T00:00:00Z,38403.975080,39520.209011,36824.651248,37033.982426,6558406665.168866
2022-02-22T00:00:00Z,37033.578669,38453.367704,36371.795203,38256.552260,5480742107.625955
2022-02-23T00:00:00Z,38259.920324,39282.911306,37064.168309,37271.510120,4508984243.436113
2022-02-24T00:00:00Z,37273.452317,37442.849439,34178.993262,36091.755405,8628185837.061235
